hedge_steps,hedge_label,days_per_hedge_step,lambda_daily,expected_stress_duration_days,hedger,avg_model_initial_price,avg_std_pnl,avg_q05_pnl,avg_q01_pnl,avg_mean_pnl,avg_runtime_seconds,avg_stress_fraction
2,Semiannual,126,0.04,41.666666666666664,constant,8.155053044806708,4.159824201330433,-7.104225292630708,-11.558784888502437,-0.1356542984477796,0.025478485991091777,0.21388888888888888
2,Semiannual,126,0.04,41.666666666666664,regime,8.231923405629962,4.148700665709872,-7.35412535228548,-11.711796872895249,-0.1577479231861981,0.03327165264636278,0.21388888888888888
2,Semiannual,126,0.08,20.833333333333332,constant,8.2477402603665,3.8806556899359843,-6.24797386005957,-11.719553363786568,0.18720563843493263,0.027214041658832382,0.20694444444444446
2,Semiannual,126,0.08,20.833333333333332,regime,8.190521550082606,3.9074879830972633,-6.455363735168923,-11.447777636649276,0.14694199426496343,0.030955041331859928,0.20694444444444446
2,Semiannual,126,0.15,11.11111111111111,constant,8.239175899636058,3.74977429603109,-5.7203849189450615,-8.886870569846094,0.3895705617749908,0.024906222010031343,0.18333333333333335
2,Semiannual,126,0.15,11.11111111111111,regime,8.21156429939628,3.7531901875834133,-5.817403275443159,-9.337584155925507,0.40102651076925255,0.028858903019378584,0.18333333333333335
4,Quarterly,63,0.04,41.666666666666664,constant,8.16431840228001,3.0227191734047985,-5.335992828428005,-7.541340712887478,-0.14878817046580503,0.08537870831787586,0.2902777777777778
4,Quarterly,63,0.04,41.666666666666664,regime,8.505720916233814,3.037516127776671,-5.421011139531046,-7.216210690218843,-0.1706726206832894,0.14896873600082472,0.2902777777777778
4,Quarterly,63,0.08,20.833333333333332,constant,8.15057392098355,3.2099532392604204,-5.088885672790851,-10.729191942265537,-0.05230755278862304,0.081957999675069,0.29375
4,Quarterly,63,0.08,20.833333333333332,regime,8.454241383334727,3.185512075268999,-5.263321271667692,-9.893714413569407,-0.06143651081366971,0.16378398633484417,0.29375
4,Quarterly,63,0.15,11.11111111111111,constant,8.284326138992006,3.261330457044894,-5.621494664060701,-8.082932164501237,-0.10815753200963289,0.07134426365761708,0.31875000000000003
4,Quarterly,63,0.15,11.11111111111111,regime,8.466636109482389,3.276174414378833,-5.413988569924675,-7.855430897179143,-0.10331362252300584,0.12986888835439458,0.31875000000000003
6,Bi-monthly,42,0.04,41.666666666666664,constant,8.21211340777016,2.839478659423957,-4.524905447832,-8.220743492660096,0.10377309189451461,0.1330950553334939,0.30046296296296293
6,Bi-monthly,42,0.04,41.666666666666664,regime,8.725279922854343,2.784131068084885,-4.26989797073641,-6.914146742003829,0.08250562800978191,0.2593329996452667,0.30046296296296293
6,Bi-monthly,42,0.08,20.833333333333332,constant,8.300100852365258,2.554713605396252,-4.153698202812811,-7.033294390044785,0.043492541626374226,0.17496002768166363,0.3282407407407408
6,Bi-monthly,42,0.08,20.833333333333332,regime,8.661265245477841,2.5668720324741137,-4.373017682507575,-6.528204482267711,-0.006623013177701573,0.25764320833453286,0.3282407407407408
6,Bi-monthly,42,0.15,11.11111111111111,constant,8.20400143432291,2.385772181972349,-3.5686355298375396,-6.788193944532067,0.16863203985292186,0.16708568033451834,0.3347222222222222
6,Bi-monthly,42,0.15,11.11111111111111,regime,8.649395630198233,2.3804645219864162,-3.3149631166568674,-6.812030810160347,0.14698405099998746,0.24508702733631557,0.3347222222222222
12,Monthly,21,0.04,41.666666666666664,constant,8.280354427083624,1.9365124019102629,-3.380999542670694,-4.6489432507616995,0.10984550689029966,0.33240495833645883,0.3333333333333333
12,Monthly,21,0.04,41.666666666666664,regime,8.729696446245713,1.9261602184179505,-3.30826078665287,-4.464952762704146,0.10094066649185045,1.0295854167003806,0.3333333333333333
12,Monthly,21,0.08,20.833333333333332,constant,8.274820688643423,1.85657421722254,-3.7188711983305676,-5.108290634186055,-0.1310150158600328,0.2844062499740782,0.3553240740740741
12,Monthly,21,0.08,20.833333333333332,regime,8.550703297591864,1.8749419441965127,-3.478572113619036,-4.772372106620522,-0.13397932533533255,0.8793016806982147,0.3553240740740741
12,Monthly,21,0.15,11.11111111111111,constant,8.232590836227407,2.0541683482063045,-3.8139050722592986,-6.2085777344513415,-0.025845569153570197,0.30261604165813577,0.3574074074074074
12,Monthly,21,0.15,11.11111111111111,regime,8.668425681940302,2.066664035710628,-3.6817264504875165,-6.09620578753979,-0.042750737473784155,0.8473568893386982,0.3574074074074074
